Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D28,D,Diode_SMD,60.037475,-57.82585,0,bottom
D29,D,Diode_SMD,60.037475,-59.62585,0,bottom
D30,D,Diode_SMD,60.037475,-61.42585,0,bottom
D31,D,Diode_SMD,56.887475,-36.17585,0,bottom
D32,D,Diode_SMD,68.137525,-61.42585,180,bottom
D33,D,Diode_SMD,68.137525,-63.22585,180,bottom
D35,D,Diode_SMD,74.337525,-42.82585,180,bottom
D36,D,Diode_SMD,74.337525,-44.42585,180,bottom
D37,D,Diode_SMD,68.137525,-64.92585,180,bottom
D39,D,Diode_SMD,76.737475,-33.67585,0,bottom
D40,D,Diode_SMD,93.587475,-42.42585,0,bottom
D41,D,Diode_SMD,93.587475,-44.02585,0,bottom
D43,D,Diode_SMD,56.887475,-34.47585,0,bottom
D44,D,Diode_SMD,99.287525,-42.42585,180,bottom
D45,D,Diode_SMD,99.287525,-44.02585,180,bottom
D46,D,Diode_SMD,99.287525,-58.07585,180,bottom
D47,D,Diode_SMD,62.760925,-34.47585,180,bottom
D48,D,Diode_SMD,105.737525,-51.71645,180,bottom
D49,D,Diode_SMD,105.737525,-53.32585,180,bottom
D50,D,Diode_SMD,105.737525,-54.90715,180,bottom
D51,D,Diode_SMD,109.737525,-83.92585,180,bottom
DI10,D,Diode_SMD,62.787525,-41.17585,180,bottom
DI11,D,Diode_SMD,62.787525,-42.77585,180,bottom
DI7,D,Diode_SMD,62.787525,-36.17585,180,bottom
DI8,D,Diode_SMD,62.787525,-37.85715,180,bottom
DI9,D,Diode_SMD,62.787525,-39.55715,180,bottom
DS10,D,Diode_SMD,93.387525,-58.07585,180,bottom
DS11,D,Diode_SMD,62.787525,-44.37585,180,bottom
DS7,D,Diode_SMD,76.737525,-35.32585,180,bottom
DS8,D,Diode_SMD,70.937525,-45.82585,180,bottom
DS9,D,Diode_SMD,79.864025,-51.82585,180,bottom
